Name,Album,Artist,Release Date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time Signature,Valence
Easy On Me,Easy On Me,Adele,2021-10-14,224694,100,0.578,0.604,0.366,0.0,0.133,-7.519,0.0282,141.981,4,0.13
INDUSTRY BABY (feat. Jack Harlow),MONTERO,Lil Nas X,2021-09-17,212352,91,0.0221,0.741,0.691,0.0,0.0476,-7.395,0.0672,150.087,4,0.892
STAY (with Justin Bieber),F*CK LOVE 3: OVER YOU,The Kid LAROI,2021-07-23,141805,93,0.0383,0.591,0.764,0.0,0.103,-5.484,0.0483,169.928,4,0.478
Heat Waves,Dreamland (+ Bonus Levels),Glass Animals,2020-08-06,238805,92,0.44,0.761,0.525,6.7e-06,0.0921,-6.9,0.0944,80.87,4,0.531
Moth To A Flame (with The Weeknd),Moth To A Flame,Swedish House Mafia,2021-10-22,234000,91,0.00279,0.542,0.659,0.0,0.105,-7.289,0.0389,120.122,4,0.109
Knife Talk (with 21 Savage ft. Project Pat),Certified Lover Boy,Drake,2021-09-03,242965,91,0.0635,0.849,0.424,0.0,0.0834,-9.579,0.324,145.887,4,0.153
Way 2 Sexy (with Future & Young Thug),Certified Lover Boy,Drake,2021-09-03,257604,93,0.000619,0.803,0.597,4.5e-06,0.323,-6.035,0.141,136.008,4,0.331
Better Days (NEIKED x Mae Muller x Polo G),Better Days (NEIKED x Mae Muller x Polo G),NEIKED,2021-09-24,160656,86,0.0018,0.717,0.671,2.54e-06,0.0921,-5.077,0.0337,110.054,4,0.699
Need to Know,Planet Her,Doja Cat,2021-06-25,210560,94,0.304,0.664,0.609,0.0,0.0926,-6.509,0.0707,130.041,4,0.194
Meet Me At Our Spot,THE ANXIETY,THE ANXIETY,2020-03-13,162680,92,0.0153,0.773,0.47,0.000193,0.0851,-7.93,0.0299,94.995,4,0.399
good 4 u,SOUR,Olivia Rodrigo,2021-05-21,178146,96,0.335,0.563,0.664,0.0,0.0849,-5.044,0.154,166.928,4,0.688
Kiss Me More (feat. SZA),Planet Her,Doja Cat,2021-06-25,208666,87,0.259,0.764,0.705,8.92e-05,0.12,-3.463,0.0284,110.97,4,0.781
family ties (with Kendrick Lamar),The Melodic Blue,Baby Keem,2021-09-10,252262,78,0.00588,0.711,0.611,0.0,0.23,-5.453,0.33,134.093,4,0.144
Woman,Planet Her,Doja Cat,2021-06-25,172626,96,0.0888,0.824,0.764,0.00294,0.117,-4.175,0.0854,107.998,4,0.881
Shivers,Shivers,Ed Sheeran,2021-09-13,207853,96,0.281,0.788,0.859,0.0,0.0424,-2.724,0.0856,141.02,4,0.822
THATS WHAT I WANT,MONTERO,Lil Nas X,2021-09-17,143901,95,0.00614,0.737,0.846,0.0,0.0486,-4.51,0.22,87.981,4,0.546
MONTERO (Call Me By Your Name),MONTERO,Lil Nas X,2021-09-17,137704,91,0.293,0.593,0.503,0.0,0.405,-6.725,0.22,178.781,4,0.71
Bad Habits,Bad Habits,Ed Sheeran,2021-06-25,231041,97,0.0469,0.808,0.897,3.14e-05,0.364,-3.712,0.0348,126.026,4,0.591
Happier Than Ever,Happier Than Ever,Billie Eilish,2021-07-30,298899,94,0.767,0.332,0.225,0.00349,0.128,-8.697,0.0348,81.055,3,0.297
Fair Trade (with Travis Scott),Certified Lover Boy,Drake,2021-09-03,291175,92,0.0503,0.666,0.465,0.0,0.215,-8.545,0.26,167.937,4,0.292
Cold Heart - PNAU Remix,The Lockdown Sessions,Elton John,2021-10-22,202735,79,0.0354,0.795,0.8,7.25e-05,0.0915,-6.32,0.0309,116.032,4,0.934
traitor,SOUR,Olivia Rodrigo,2021-05-21,229226,93,0.691,0.38,0.339,0.0,0.12,-7.885,0.0338,100.607,4,0.0849
